,Decade,Num_of_faces,Num_of_pages,Pages_with_faces,Pct_of_pages
0,1790,3,20,3.0,15.0
1,1800,10,36,9.0,25.0
2,1810,2,26,2.0,7.6923076923076925
3,1820,1,32,1.0,3.125
4,1830,2,36,2.0,5.555555555555555
5,1840,0,24,0.0,0.0
6,1850,2,24,2.0,8.333333333333332
7,1860,1,24,1.0,4.166666666666666
8,1870,1,24,1.0,4.166666666666666
9,1880,1,24,1.0,4.166666666666666
10,1890,1,26,1.0,3.8461538461538463
11,1900,4,28,4.0,14.285714285714285
12,1910,4,30,4.0,13.333333333333334
13,1920,8,28,6.0,21.428571428571427
14,1930,8,28,6.0,21.428571428571427
15,1940,10,38,8.0,21.052631578947366
16,1950,8,48,8.0,16.666666666666664
17,1960,25,90,19.0,21.11111111111111
18,1970,14,78,11.0,14.102564102564102
19,1980,60,136,44.0,32.35294117647059
20,1990,115,208,74.0,35.57692307692308
