,Decade,Num_of_faces,Num_of_pages,Pages_with_faces,Pct_of_pages
0,1880,1,34,1,2.941176470588235
1,1890,17,52,12,23.076923076923077
2,1900,25,68,17,25.0
3,1910,27,52,17,32.69230769230769
4,1920,46,64,29,45.3125
5,1930,31,54,19,35.18518518518518
6,1940,24,56,16,28.57142857142857
7,1950,105,94,47,50.0
8,1960,175,144,60,41.66666666666667
9,1970,202,200,82,41.0
10,1980,343,210,106,50.476190476190474
11,1990,218,202,97,48.01980198019802
12,2000,657,216,153,70.83333333333334
13,2010,699,188,146,77.6595744680851
