,Decade,Num_of_faces,Num_of_pages,Pages_with_faces,Pct_of_pages
0,1820,0,26,0.0,0.0
1,1830,1,54,1.0,1.8518518518518516
2,1840,1,50,1.0,2.0
3,1850,2,48,2.0,4.166666666666666
4,1860,4,48,3.0,6.25
5,1870,5,46,2.0,4.3478260869565215
6,1880,6,50,5.0,10.0
7,1890,1,52,1.0,1.9230769230769231
8,1900,11,54,9.0,16.666666666666664
9,1910,6,50,4.0,8.0
10,1920,21,110,11.0,10.0
11,1930,32,104,20.0,19.230769230769234
12,1940,13,92,10.0,10.869565217391305
13,1950,49,116,29.0,25.0
14,1960,44,166,31.0,18.67469879518072
15,1970,48,186,41.0,22.043010752688172
16,1980,144,306,107.0,34.967320261437905
17,1990,190,424,123.0,29.009433962264154
