,Newspaper,Year,Faces
0,GDL,1798,0
1,GDL,1798,0
2,GDL,1798,0
3,GDL,1798,0
4,GDL,1798,0
5,GDL,1798,1
6,GDL,1798,0
7,GDL,1798,0
8,GDL,1798,0
9,GDL,1798,0
10,GDL,1798,0
11,GDL,1798,0
12,GDL,1798,0
13,GDL,1798,0
14,GDL,1798,0
15,GDL,1798,0
16,GDL,1798,0
17,GDL,1798,0
18,GDL,1798,1
19,GDL,1798,1
20,GDL,1807,0
21,GDL,1807,0
22,GDL,1807,0
23,GDL,1807,0
24,GDL,1807,0
25,GDL,1807,1
26,GDL,1807,1
27,GDL,1807,0
28,GDL,1807,0
29,GDL,1807,0
30,GDL,1807,0
31,GDL,1807,0
32,GDL,1807,0
33,GDL,1807,1
34,GDL,1807,0
35,GDL,1807,2
36,GDL,1807,0
37,GDL,1807,0
38,GDL,1807,0
39,GDL,1807,0
40,GDL,1807,0
41,GDL,1807,0
42,GDL,1807,1
43,GDL,1807,0
44,GDL,1807,1
45,GDL,1807,0
46,GDL,1807,1
47,GDL,1807,0
48,GDL,1807,0
49,GDL,1807,1
50,GDL,1807,1
51,GDL,1807,0
52,GDL,1807,0
53,GDL,1807,0
54,GDL,1807,0
55,GDL,1807,0
56,GDL,1812,0
57,GDL,1812,0
58,GDL,1812,0
59,GDL,1812,0
60,GDL,1812,0
61,GDL,1812,0
62,GDL,1812,0
63,GDL,1812,0
64,GDL,1812,1
65,GDL,1812,0
66,GDL,1812,0
67,GDL,1812,1
68,GDL,1812,0
69,GDL,1812,0
70,GDL,1817,0
71,GDL,1817,0
72,GDL,1817,0
73,GDL,1817,0
74,GDL,1817,0
75,GDL,1817,0
76,GDL,1817,0
77,GDL,1817,0
78,GDL,1817,0
79,GDL,1817,0
80,GDL,1817,0
81,GDL,1817,0
82,GDL,1822,0
83,GDL,1822,0
84,GDL,1822,0
85,GDL,1822,0
86,GDL,1822,0
87,GDL,1822,0
88,GDL,1822,0
89,GDL,1822,0
90,GDL,1822,0
91,GDL,1822,0
92,GDL,1822,0
93,GDL,1822,0
94,GDL,1822,0
95,GDL,1822,0
96,GDL,1827,0
97,GDL,1827,0
98,GDL,1827,0
99,GDL,1827,1
100,GDL,1827,0
101,GDL,1827,0
102,GDL,1827,0
103,GDL,1827,0
104,GDL,1827,0
105,GDL,1827,0
106,GDL,1827,0
107,GDL,1827,0
108,GDL,1827,0
109,GDL,1827,0
110,GDL,1827,0
111,GDL,1827,0
